UID,Text,video_doorbell,gate,lock,intercom,lights,dog,police,security_camera_system,none,warning_sign,guard_ID_resident,security_screen_door
20019497,No trespassing with junk in yards and gas cans everywhere,,,,,,,,,,1,,
20019657,Unable to access large chain and lock on entrance,,,1,,,,,,,,,
20019709,Apartment is on the far right of the building,,,,,,,,,,,,
20020468,"To dark to tell, no porch light on",,,,,,,,,,,,
20020628,Had door camera ?€?ring?€?,1,,,,,,,,,,,
20020747,No letterbox for unit 1,,,,,,,,,,,,
20020877,Camera door bell,1,,,,,,,,,,,
20021159,Several homes still have hurricane shutters up and boarded up windows,,,,,,,,,,,,
20021342,Yard is encased with an 8 ft fence recently constructed. It surrounds both the front and back yards ,,1,,,,,,,,,,
20021609,Home has Ring Doorbell,1,,,,,,,,,,,
20021911,You must have a key card to get in the front gate. The gate was open during the day today.,,1,1,,,,,,,,,
20022408,"Multiple mailboxes , several different units but no additional security .",,,,,,,,,1,,,
20022464,Behind a commercial bldg,,,,,,,,,,,,
20022981,2-3flat possibility drop point. Broken light out front. Not well maintained out front.,,,,,1,,,,,,,
20023070,Entry to dwelling unit is gated.  Must call from callbox to gain access or follow someone in.,,1,,1,,,,,,,,
20023553,Ring doorbell,1,,,,,,,,,,,
20024125,No trespassing signs. Beware of dog. Fenced yard. HH met me outside.,,1,,,,1,,,,1,,
20024211,Entire house is surrounded by a black iron fence,,1,,,,,,,,,,
20024493,The house is being worked on the house seems to be gutted,,,,,,,,,,,,
20025162,The residence is fenced with a locked gate.,,1,1,,,,,,,,,
20025377,Lots of cars on street.,,,,,,,,,,,,
20025407,There is a public emergency box near the steps at the sidewalk,,,,,,,,,,,,
20025742,Locked front door to building.,,,1,,,,,,,,,
20025946,ADT,,,,,,,,,,1,,
20026273,ADT security sign in yard near door,,,,,,,,,,1,,
20026701,GPS says to turn down mt ida rd but the road continues behind a fence with no trespassing signs,,1,,,,,,,,1,,
20027328,Iron closed gate at front door.,,1,,,,,,,,,,
20028398,Neighborhood watch signs,,,,,,,,,,1,,
20029625,Pitbull/boxer seemed friendly.,,,,,,1,,,,,,
20029681,There is an intercom system that you need to dial by directory.,,,,1,,,,,,,,
20030265,Doorbell,1,,,,,,,,,,,
20030458,DU appears vacant,,,,,,,,,,,,
20030469,Buzzer to reach concierge at  locked front entry,,,1,1,,,,,,,1,
20030481,Excitable dog,,,,,,1,,,,,,
20030522,Spit wouldn?€?t let me in,,,,,,,,,,,,
20031439,Some lighting,,,,,1,,,,,,,
20031581,"Broken down vehicle, broken shutter, Blankets on front porch, trash on front porch, paint chipping on house.",,,,,,,,,,,,
20031707,Vacant,,,,,,,,,,,,
20031763,No access into apartments must be let in,,,,,,,,,,,,
20032090,Private property should gas ate prominent. Sticker on front door says has video surveillance.,,,,,,,,,,1,,
20032283,Construction/ development happening,,,,,,,,,,,,
20032517,This dwelling unit is unsafe to enter...several trucks and cars in the front of this dwelling along with several pit bulls roaming around,,,,,,1,,,,,,
20033383,Junk in yard window broken,,,,,,,,,,,,
20033532,Fence with large dog not able to access door,,1,,,,1,,,,,,
20033899,"Look for building E, it?€?s 1st floor",,,,,,,,,,,,
20034892,Video doorbell,1,,,,,,,,,,,
20034900,Saw police car in driveway,,,,,,,1,,,,,
20035163,This has a keyed entry but no intercom to buzz the resident.,,,,1,,,,,,,,
20035345,RING VIDEO BELL,1,,,,,,,,,,,
20035442,Trailer park...no extra security noticed,,,,,,,,,1,,,
20035635,Dog in yard,,,,,,1,,,,,,
20035873,Office closed on Sunday. Only entry way was 1 out of 4 Keypad entry gates was open.,,1,,,,,,,,,,
20036166,"Cannot find the exact apartment, no numbers on building that matches the number 41, it?€?s on entrance of the building but not in the specific location.",,,,,,,,,,,,
20036412,"Holiday unit, currently unoccupied, landlord was working on premises & is not interested. OK?€?d coming back in new year to see if any resident. But guess is that it?€?ll  be used as holiday rental, not permanent residence. Landlord wouldn?€?t verify situation, ?€?we own all these & not interested?€?",,,,,,,,,,,,
20036616,"Very limited street parking, narrow streets, and a Mary statue is located outside of this house.",,,,,,,,,,,,
20036735,This is a condo  names on call box but no unit numbers  mailboxes have unit number but no names,,,,1,,,,,,,,
20037158,"Private Property sign in window, abandoned vehicles in yard",,,,,,,,,,1,,
20037404,No possible way to enter without gate code.,,1,,,,,,,,,,
20038429,Iron gate security driveway on sliding system and gate leading to the door.,,1,,,,,,,,,,
20038559,None seen,,,,,,,,,1,,,
20039002,There is peeling paint. The building is not too bad. But the neighborhood is a bit run down,,,,,,,,,,,,
20039295,none,,,,,,,,,1,,,
20039314,No others Just camera over garage door,,,,,,,,1,,,,
20039831,Locked garage,,,1,,,,,,,,,
20040073,None present,,,,,,,,,1,,,
20040330,Very safe,,,,,,,,,,,,
20040943,keypad Gate was open,,1,,,,,,,,,,
20041269,You need to know tenants name to access the call box. It doesn?€?t work with a unit #.,,,,1,,,,,,,,
20041292,Video door bell,1,,,,,,,,,,,
20041366,This is an assisted living facility,,,,,,,,,,,,
20042392,Apartment in gated community that requires access be granted by residents.,,1,,,,,,,,,,
20042400,Must have key to get into bldg. no buzzer,,,,1,,,,,,,,
20043135,Just beware of dog...but didn?€?t see a dog,,,,,,,,,,1,,
20043522,Fence lights,,,,,1,,,,,,,
20044235,It?€?s a condo building with attached garage,,,,,,,,,,,,
20044354,?€?Ring?€? high-tech doorbell,1,,,,,,,,,,,
20044581,Tan single family home set backoff the road. White extended cab Ford F-150 parked near home,,,,,,,,,,,,
20044860,Key code,,,1,,,,,,,,,
20045261,Houses for sale,,,,,,,,,,,,
20045722,Motion sensor lighting,,,,,1,,,,,,,
20046361,"None, as for building unkept. I am not convinced that the look of peeling paint on outside of building isn?€?t as such for aesthetic reasons, however when having to pick one option it appears the paint on exterior of house is not well kept",,,,,,,,,,,,
20046394,Key fob access,,,1,,,,,,,,,
20046952,"Single family no toys but 4 pumpkins, maybe 4 people?",,,,,,,,,,,,
20047795,"Property is vacant have for rent sign, called realtor at 20-966-2116 and it?€?s confirmed.",,,,,,,,,,,,
20047814,"Apt 2f is on the front side with a bell, apts 1e and 1w are on the side of bldg behind security gate, no Apt 2 stand alone",,1,,,,,,,,,,
20048903,Video doorbell,1,,,,,,,,,,,
20049207,Very limited parking and narrow streets.,,,,,,,,,,,,
20049434,"No apartment manager, very limited street parking, and no way to access this unit except if a resident comes out/goes in.",,,1,,,,,,,,,
20049661,Very limited street parking. Need someone from inside or a key to open the front door.,,,1,,,,,,,,,
20049843,This is a locked building with a key card but no intercom or buzzer.,,,1,,,,,,,,,
20049876,Someone rang me into DU However no answered door,,,,,,,,,,,,
20050438,Very safe,,,,,,,,,,,,
20051107,This du is on acreage in a very upscale area. I could only see a little of the house from the driveway. There  is a gate that has a keypad and intercom at the beginning of the driveway. The next door neighbor was leaving and asked if I needed help.,,1,,1,,,,,,,,
20051118,Ring doorbell,1,,,,,,,,,,,
20051408,A fence in the front of yard,,1,,,,,,,,,,
20051710,Locked front door. No doorbell,,,1,,,,,,,,,
20051765,Lawns all dry,,,,,,,,,,,,
20051787,ADT,,,,,,,,,,1,,
20052779,Video camera over front door.,,,,,,,,1,,,,
20052917,Nest doorbell with video,1,,,,,,,,,,,
20053136,Downstairs unit has a large dog.,,,,,,1,,,,,,
20053330,The building has a phone inter come dial by directory system.,,,,1,,,,,,,,
20053415,ADT Sign Front Yard,,,,,,,,,,1,,
20053556,Vacant,,,,,,,,,,,,
20053813,Security system being put in when FI arrived.,,,,,,,,1,,,,
20054139,ADT Sign,,,,,,,,,,1,,
20055046,Building condemned,,,,,,,,,,,,
20055842,"Callbox, must have last name to dial the code number. This is a gated community.",,1,,1,,,,,,,,
20056072,Security lights,,,,,1,,,,,,,
20056124,Intercom,,,,1,,,,,,,,
20056469,No Tresspassing sign on gate to enter unit,,1,,,,,,,,1,,
20056931,Luxury high rise. Doorman hasn?€?t authority to provide tenants names. No published directory. Go thru on-site PManager,,,,,,,,,,,1,
20057291,6 foot wooden gate around front entrance,,1,,,,,,,,,,
20057406,"The door doesn?€?t open all the way, it?€?s broken . It doesn?€?t look safe in the area,",,,,,,,,,,,,
20057901,Unlocked gate,,1,,,,,,,,,,
20058119,Enterprise Moving Company is here. The occupants are not home. I left SIMY card in the mailbox.,,,,,,,,,,,,
20058335,Ring doorbell,1,,,,,,,,,,,
20058755,4 addresses in same bldg.  each door labeled,,,,,,,,,,,,
20058777,This is Military housing and there?€?s an armed guard at the gate. You need a valid pass to enter the gate.,,1,,,,,,,,,1,
20058799,Key pad entry,,,1,,,,,,,,,
20058937,Possible camera doorbell,1,,,,,,,,,,,
20059093,There is a doorbell system but the door lock is broken allowing access.,,,1,,,,,,,,,
20059231,Key card needed for entrance,,,1,,,,,,,,,
20059350,Must press a number code according to the unit and have occupant buzz in.,,,,1,,,,,,,,
20060127,"Entry door to building locked, no bell.",,,1,,,,,,,,,
20060194,Daylight visit only,,,,,,,,,,,,
20060741,"Can enter parking garage but must have key to enter to apartments, office would not give access",,,1,,,,,,,,,
20060752,Metal door to computer lex.,,,,,,,,,,,,1
20060774,Building needs swipe to enter.,,,1,,,,,,,,,
20060859,Home has Ring Doorbell.,1,,,,,,,,,,,
20061807,ADT security sign next to driveway.,,,,,,,,,,1,,
20061818,A wooden gate to pass through to reach DU?€?s front door.,,1,,,,,,,,,,
20062060,Open gate for parking,,1,,,,,,,,,,
20062640,Ring doorbell,1,,,,,,,,,,,
20063041,Abandoned house no signs of additional security,,,,,,,,,1,,,
20063502,Wesley village,,,,,,,,,,,,
20063609,Locked main entrance door that can only be accessed with key. Could not get to a call box or ringer if there is one.,,,1,,,,,,,,,
20063665,Gate is broken in the ftont,,,,,,,,,1,,,
20063814,Home has to be accessed through alley due to road construction,,,,,,,,,,,,
20063858,Plywood on inside of windows,,,,,,,,,,,,
20064033,The apartment complex has a general door you walk in preceding the residents apartment door ,,,,,,,,,,,,
20064237,Security door,,,,,,,,,,,,1
20064282,There was a Sanderson Farm sign on the road leading to house.  Not sure if this is a business or not.,,,,,,,,,,,,
20064657,This is a very high end apartment with no easy access,,,,,,,,,,,,
20065144,Security,,,,,,,,,,,,
20065166,"Walk thru overgrown path to front door, steps somewhat unsafe",,,,,,,,,,,,
20065586,Didn?€?t see any security measures.,,,,,,,,,1,,,
20065694,Locked building didn?€?t see intercom or access door.,,,1,,,,,,,,,
20065757,Camera doorbell.,1,,,,,,,,,,,
20066363,Camera by door on the inside of the garage door that appears to be the only entrance to the DU,,,,,,,,1,,,,
20066589,Invisible fence sign,,,,,,,,,,,,
20066824,Locked front door to the2apts,,,1,,,,,,,,,
20067139,This is a 2 family unit. I do not have a specific apartment number. Will follow up with my Supervisor.,,,,,,,,,,,,
20067311,Security lights,,,,,1,,,,,,,
20067708,"Locked door of apartment building, must dial apartment code to obtain access or call hh in order to obtain entry.",,,1,1,,,,,,,,
20067850,Deserted?,,,,,,,,,,,,
20067872,Eviction notice on door 3 days,,,,,,,,,,,,
20068024,Doorbell camera,1,,,,,,,,,,,
20068109,None seen,,,,,,,,,1,,,
20068507,none,,,,,,,,,1,,,
20068648,Doormat said I have nothing worth dying for with a bullseye,,,,,,,,,,1,,
20068682,Gated front porch with husky dog on front porch,,1,,,,1,,,,,,
20068927,Security gate with fence to go through to get to front door.,,1,,,,,,,,,,
20068950,I think they were here.,,,,,,,,,,,,
20069607,Spoke to resident that says he?€?s ?€?locked and loaded?€? for any intruder so doesn?€?t need police.,,,1,,,,,,,,,
20069629,Controlled access has intercom no names identified on intercom or mailbox.,,,,1,,,,,,,,
20070270,This is an assisted living facility.  Receptionist called resident.,,,,,,,,,,,1,
20070515,Gated community but gate is up during daytime hours,,1,,,,,,,,,,
20070764,"Unkept lawn and front porch, road in rough condition.",,,,,,,,,,,,
20070775,Cameras on her or on the house on the front porch,,,,,,,,1,,,,
20071422,None that I could see,,,,,,,,,1,,,
20072209,There was a small brown barking dog in the yard.  The dog followed the vehicle.,,,,,,1,,,,,,
20072340,Locked entrance,,,1,,,,,,,,,
20072566,Three large Rottweilers,,,,,,1,,,,,,
20072685,Unit is new construction,,,,,,,,,,,,
20073439,Call box electronic directory not working.,,,,1,,,,,,,,
20073978,Call box requires 3 digit code,,,,1,,,,,,,,
20074023,Residential independent living sr facility,,,,,,,,,,,,
20074120,Senior living apartment must check inn,,,,,,,,,,,1,
20074733,Guard on duty & you have to have permission from the occupant to enter. The guard calls the unit. No one home.,,,,,,,,,,,1,
20075059,Lockbox on doorknob.,,,1,,,,,,,,,
20075286,Fine to visit during day ligh t.,,,,,,,,,,,,
20075435,Towing enforced signs.,,,,,,,,,,1,,
20076137,Main gate was open,,1,,,,,,,,,,
20076159,This is a locked apartment building . Unable to enter without a code,,,1,,,,,,,,,
20076427,Elders Home,,,,,,,,,,,,
20076814,Decal parking only.,,,,,,,,,,,,
20076944,No access door locked code needed,,,1,,,,,,,,,
20076966,HH mentioned they take precautions and actively watch for strangers in the neighborhood. Several neighbors have experienced property crimes but they have not.,,,,,,,,,,,,
20078100,Security camera by front door.,,,,,,,,1,,,,
20078230,Can not get in unless sp waiting for you.,,,,,,,,,,,,
20078490,This DU is located in a guarded neighborhood. Access is impossible unless you are on a guest list,,,,,,,,,,,1,
20078876,Man has a gun,,,,,,,,,,,,
20079404,This is a gated apartment complex for Sacramento State University students.,,1,,,,,,,,,,
20079590,Caution tape around the porch obstructing front entrance,,,,,,,,,,1,,
20079738,Gate was open on the long driveway there was a white car back,,1,,,,,,,,,,
20079813,Surveillance camera at entry of complex.,,,,,,,,1,,,,
20079932,Secured residence parking,,,,,,,,,,,,
20079954,"No gate/fence, park on the street.",,,,,,,,,1,,,
20080129,Last building on the left,,,,,,,,,,,,
20081207,Ring doorbell,1,,,,,,,,,,,
20081478,"Need passcode to access the apartment building, many homeless people in this neighborhood, and very limited parking on the streets.",,,1,,,,,,,,,
20081940,Security gate around driveway. No bell on gate.  Warning sign on gate.  Warning security dog.,,1,,,,1,,,,1,,
20082493,Video doorbell.,1,,,,,,,,,,,
20082675,Unable to access,,,,,,,,,,,,
20083388,"Realty company, could be an apt or two upstairs",,,,,,,,,,,,
20084154,Vacant- no one resides at this location.,,,,,,,,,,,,
20084477,For you to be able to get in the sp needs to be waiting for you. Receptionist are no allowed to call in residents in reference to anything that they previously call in for or are waiting for.,,,,,,,,,,,1,
20084507,Need to park across the street and walk in,,,,,,,,,,,,
20084615,Garbage & appliances in the driveway,,,,,,,,,,,,
20084961,Drive inside to 100 something to sign says 96,,,,,,,,,,,,
20085436,Entrance is o the rear parking lot to the left,,,,,,,,,,,,
20085760,Very limited street parking. No apartment manager information posted outside at the door.,,,,,,,,,,,,
20085867,Duplex,,,,,,,,,,,,
20086008,"Gated community, had to use main/visitor entrance where gate was up.",,1,,,,,,,,,,
20086064,Security thru phone at gate they call du,,1,,1,,,,,,,1,
20087313,Decorated for Halloween.,,,,,,,,,,,,
20087722,"This is a mixed use building, commercial and 10 story residential. Intercom system has names only, no units. If entry is possible there is a doorman.  Can?€?t tell if into all micro units or how many bedrooms are the apartment.",,,,1,,,,,,,1,
20088004,"Property looks vacant,",,,,,,,,,,,,
20089245,"Unable to enter, no trespassing signs on entrance. No access to building",,,,,,,,,,1,,
20089773,Video doorbell,1,,,,,,,,,,,
20090164,It?€?s a mobile home steps are rotted off the front I bought fell through trying to get to the front door grass is about 3 foot high it?€?s rounded the underpinning some of it?€?s missing there the duck work is a collapsed and laying on the ground under the mobile home furnace and air conditioner are sitting out in the yard I don?€?t know if Siri placed it there is a window air conditioner in there talk to a neighbor said it?€?s been a banded that?€?s all I can tell,,,,,,,,,,,,
20090409,"Gated community; have to call resident for access, or wait for another car to follow in",,1,,,,,,,,,,
20090432,There was a police officer parked as I drove through the entrance of the apartment complex. There are signs that states the necessity of a parking permit or the vehicle will be towed. I parked in an area that did not have such signs.,,,,,,,1,,,1,,
20090487,This address is located within large senior living/independent living building. Had to show drivers license and letter to sign in.,,,,,,,,,,,1,
20090573,Has a front desk reception,,,,,,,,,,,1,
20090669,Ring doorbell,1,,,,,,,,,,,
20090766,Mailbox says vacant,,,,,,,,,,,,
20091082,I saw a Sander Farm on the road leading to the house,,,,,,,,,,,,
20091101,Key card needed for entrance,,,1,,,,,,,,,
20091190,Structure is burnt down. There are no occupants at this structure,,,,,,,,,,,,
20092007,Locked apt bldg. must buzz apt. No name.,,,1,1,,,,,,,,
20092728,"Dog bowl is evident, beware of dog sign on fence inhibits FI from being able to access the front door without presumed safety risk. As for indications of children, the response entered is subjective. Nothing observed indicates this with certainty, however a soccer ball and brightly orange colored possible kickball was observed within chain length fence area.",,,,,,1,,,,1,,
20092858,No buzzer system and outer door is locked,,,1,,,,,,,,,
20092900,Need a name to ring the apt.  You can get in by following someone so far,1,,,,,,,,,,,
20093378,Ring doorbell w camera,1,,,,,,,,,,,
20093668,Security lights,,,,,1,,,,,,,
20093958,Unsafe,,,,,,,,,,,,
20094058,Private community,,,,,,,,,,,,
20094144,"Although there was a sign on door for video security, I did not see cameras.",,,,,,,,,,1,,
20094296,The Loft Rehabilitations Home,,,,,,,,,,,,
20094531,Main entrance locked.  Must ring bell for entrance.,1,,1,,,,,,,,,
20094575,Low income neighborhood. Not really safe at night,,,,,,,,,,,,
20095158,"Very nice building, receptionist needs to call sp over the phone for me to get in.",,,,,,,,,,,1,
20095233,"2 flat Hispanic. Controlled access, no access to inner doors.",,,,,,,,,,,,
20095697,Spoke with female DU resident doing yard work. Did not have opportunity to approach the door.,,,,,,,,,,,,
20095932,Need name to ring apt,1,,,,,,,,,,,
20096184,Locked front doors. No entry into DU,,,1,,,,,,,,,
20096764,secure apartment building,,,,,,,,,,,,
20096935,Front door is pad locked,,,1,,,,,,,,,
20096979,None - abandoned home,,,,,,,,,,,,
20097712,Camera doorbell,1,,,,,,,,,,,
20098049,Initial corridor door to apt can be closed or open.,,,,,,,,,,,,
20098135,Initial apt corridor can be locked.,,,1,,,,,,,,,
20098265,Cameras and intercom do not work,,,,1,,,,1,,,,
20098287,Main Gate was open.,,1,,,,,,,,,,
20098328,Neighborhood watch program in force signs posted in front of du,,,,,,,,,,1,,
20098812,Neighbor crime watch sign posted,,,,,,,,,,1,,
20098867,"To dark to tell, no porch light on",,,,,,,,,,,,
20099741,?€?Ring?€? high tech doorbell,1,,,,,,,,,,,
20100117,No entry in apartments must be let in,,,,,,,,,,,,
20100140,Secured resident parking,,,,,,,,,,,,
20101659,Security lights,,,,,1,,,,,,,
20102027,I heard a couple of small dogs within DU.,,,,,,1,,,,,,
20102209,Camera signs everywhere but they are it visible,,,,,,,,,,1,,
20102618,No labels on doorbells,,,,,,,,,,,,
20103053,Little dogs in fenced back yard,,1,,,,1,,,,,,
20104056,"Community gated, access by some one driving in.",,1,,,,,,,,,,
20104216,No additional,,,,,,,,,,,,
20104227,"High end residential community, no soliciting or trespassing. Gate at entrance. Spoke to a resident at the gate. She said there was not an on site resident manager.",,1,,,,,,,,1,,
20104313,Gated yard with signs to beware of dog,,1,,,,,,,,1,,
20104874,Looks like a single family home. No one home. SIMY card left and a brochure.,,,,,,,,,,,,
20105190,All looks clear,,,,,,,,,,,,
20105684,Building is a store front but the store is out of business.,,,,,,,,,,,,
20105822,No trespassing sign.,,,,,,,,,,1,,
20106717,Key card needed for entrance,,,1,,,,,,,,,
20106784,"Was unable to gain access.  Must have 4 digit pin to open gate or can look up a residents name to call them to gain access.  No guard or office to contact, all digital.",,1,,,,,,,,,,
20106900,Secured resident parking,,,,,,,,,,,,
20106955,Gated community. But I was able to see that they are houses.,,1,,,,,,,,,,
20107033,IP Section 8 and low income high security. No access to inside of building. There wasn?€?t anyone who could guide me to get info to the unit.,,,,,,,,,,,,
20107453,Considerable items throughout yard covered with tarps,,,,,,,,,,,,
20107679,Initial apt door corridor can be closed or open.,,,,,,,,,,,,
20108155,Nice house. Audi in driveway.,,,,,,,,,,,,
20108809,Home has video door bell.,1,,,,,,,,,,,
20108876,This apartment complex called The Grove Apartment,,,,,,,,,,,,
20108973,Heard a large dog inside,,,,,,1,,,,,,
20108995,Directory by name only,,,,,,,,,,,,
20109783,Someone needs to open the front door for you to get in.,,,,,,,,,,,,
20109921,Locked metal outer door on house.,,,1,,,,,,,,,
20109932,Fenced yard,,1,,,,,,,,,,
20110044,This is a VERY BAD PROJECT.,,,,,,,,,,,,
20110248,Residents have a house setter.,,,,,,,,,,,,
20110646,There is nothing that would indicate its a dwelling unit. The person who receives mail here works around the corner and will call if he wants to be in study,,,,,,,,,,,,
20110969,Iron gate,,1,,,,,,,,,,
20111188,Apartment complex,,,,,,,,,,,,
20111393,"Main front door with hallway light on with two separate doors on the inside, not sure if open or locked",,,,,1,,,,,,,
20111412,Gated community,,1,,,,,,,,,,
20111445,A code is needed to enter the apartment building.,,,1,,,,,,,,,
20111605,Older mobile home a mobile home seems kept up at the yard is just full of piles and piles of stuff you know it looks like maybe it?€?s their life savings that there some day this is going to come back and bring them,,,,,,,,,,,,
20112017,Side door has bell,1,,,,,,,,,,,
20112471,There are sign stating that there are surveillance cameras in the complex. The DU has a nest doorbell,1,,,,,,,1,,1,,
20112880,There is a small gate to open to get onto the porch.,,1,,,,,,,,,,
20112943,Locked garages,,,1,,,,,,,,,
20113407,There is a Century 21 for sale sign in front yard. The building is vacant. Looked through the windows and front glass door.,,,,,,,,,,1,,
20113559,Ring doorbell,1,,,,,,,,,,,
20113861,This house is the process of remodeling.,,,,,,,,,,,,
20115715,Need to go through gated.,,1,,,,,,,,,,
20116031,Police officer lives on the premises,,,,,,,1,,,,,
20116161,Electronic doorbell.,1,,,,,,,,,,,
20116387,Gated community Evergreen at Five point gate closes fast allows only 1 car at a time,,1,,,,,,,,,,
20116440,The house is on the corner,,,,,,,,,,,,
20117562,Party today,,,,,,,,,,,,
20117614,316 North Alma St. is condemned uninhabitable. Boarded up. Brush grass overgrown. No one lives here.,,,,,,,,,,,,
20117799,Camera security,,,,,,,,1,,,,
20117841,Screened in porch around front porch.,,,,,,,,,,,,1
20119052,Two dogs chained up on each end of unit,,,,,,1,,,,,,
20119847,It?€?s just a real old mobile home it?€?s fairly kept up but just really old,,,,,,,,,,,,
20121219,"Assisted Living, elders home, receptionist informed apt # currently vacant",,,,,,,,,,,1,
20121275,Video doorbell,1,,,,,,,,,,,
20121822,Security lights,,,,,1,,,,,,,
20122029,Callbox doesn?€?t work. No apartment manager information posted.,1,,,,,,,,,,,
20122115,Need to sign a book.,,,,,,,,,,,1,
20122289,Cannot see unit from parking lot so unsure if immediate dwelling specifics.,,,,,,,,,,,,
20122665,Three dogs roaming property,,,,,,1,,,,,,
20123282,Guns,,,,,,,,,,,,
20123840,No trespassing sign when you turn onto main road into this neighborhood,,,,,,,,,,1,,
20125589,There is private property sign at the main entrance very small narrow road.,,,,,,,,,,1,,
20125608,There was a keypad on door.,,,1,,,,,,,,,
20125965,"Building is inside the gate & drive inside, building is across J, 2 second stair way go up to 3 floor",,1,,,,,,,,,,
20126548,"There is a sign, which said Nested camera",,,,,,,,,,1,,
20127046,Just 2 pitbulls,,,,,,1,,,,,,
20128373,Dog was loose in the yard,,,,,,1,,,,,,
20128395,Hurricane shutters on side windows,,,,,,,,,,,,
20128674,Screened porch,,,,,,,,,,,,1
20128726,Gate,,1,,,,,,,,,,
20128737,Row houses. Fence between units but not gated. Section 8,,1,,,,,,,,,,
20129440,SIMY card left. With my phone number.,,,,,,,,,,,,
20129655,Keypad on door,,,1,,,,,,,,,
20129699,Front storm door has bars.,,,,,,,,,,,,
20130369,Door has keypad entry,,,1,,,,,,,,,
20130789,Gate on the outside to enter building was locked...couldn?€?t gain entrance...mailbox was also locked...couldn?€?t leave SIMY card or brochure,,1,1,,,,,,,,,
20131845,Grass not taken care of.,,,,,,,,,,,,
20132752,Paint peeling on shutters and door,,,,,,,,,,,,
20132837,These units are like a small community of low level apartments. A very unsecure area. I will not come here when it?€?s dark outside.,,,,,,,,,,,,
20132859,2 flat confirmed by owner,,,,,,,,,,,,
20132912,Private community,,,,,,,,,,,,
20133034,"Luxury high rise w/doorman w/o authority to provide tenants names, no public directory, no intercom, no access to unit. Go thru on-site Pmanager",,,,,,,,,,,1,
20133078,"Neighbors doesn?€?t like me to park on other house, asking me to move my car to front of the address we stopped by",,,,,,,,,,,,
20133517,Halloween decorations in front yard,,,,,,,,,,,,
20134286,This a huge apartment complex. No access unless occupant allows entrance. The guard calls. No one answered the phone.,,,,,,,,,,,1,
20134941,"Dirt road, Winnebago in driveway",,,,,,,,,,,,
20135643,Street light in front of house,,,,,1,,,,,,,
20136044,Signs: Need a visitors pass and car permit,,,,,,,,,,1,,
20137490,Intercom inside,,,,1,,,,,,,,
20137542,Ring Video Doorbell,1,,,,,,,,,,,
20137809,Porch light is on.,,,,,1,,,,,,,
20137821,Must be let in by hh mbr by pressing a button outside of hh and await response,,,,,,,,,,,,
20137940,Towing warnings,,,,,,,,,,1,,
20137984,Ring Doorbell,1,,,,,,,,,,,
20138415,Private gated/padlocked fence blocking all property entrance.,,1,1,,,,,,,,,
20139441,Unoccupied gate keeper station,,1,,,,,,,,,,
20139463,"Apartment is a gated complex, locked by key entry.",,1,1,,,,,,,,,
20139849,Gate at entry may be open during the day.  I was able to drive through during weekday afternoon.,,1,,,,,,,,,,
20139850,Jamestown apartments. Parking lot 4,,,,,,,,,,,,
20140144,Didn?€?t see any,,,,,,,,,1,,,
20140359,Locked entry with no intercom,,,1,,,,,,,,,
20140445,There was signs posted all throughout the neighborhood of community watch certain mailbox?€?s hit signs hanging from them indicating that they were community watch these are posted all through the neighborhood and around the address,,,,,,,,,,1,,
20141051,"The only valid Building for this address was an office building for a junkyard. Several abandoned vehicles. Three Rottweilers on premises, could not get into the drive to go to the building which looked closed.",,,,,,1,,,,,,
20141341,Well kept apt complex,,,,,,,,,,,,
20141426,"Part of a private community, need permission from office to visit, even though it is not located directly inside the specified community.",,,,,,,,,,,1,
20141705,Had to follow a person who lived in the complex to gain access,,,,,,,,,,,,
20142861,Park outside the gated apartment & walking inside & right next to swimming pool there?€?s unit 97 1st floor,,1,,,,,,,,,,
20143604,No buzzer and outer door locked,,,1,,,,,,,,,
20143660,Accessed via neighbor at #2 opened first door with doorbell labeled #4 for entrance into hall.,1,,,,,,,,,,,
20143745,No Hunting and No Trespassing signs at gate entrance,,1,,,,,,,,1,,
20143927,Farm,,,,,,,,,,,,
20144339,A phone is on the outside entrance but the door was open. Dial code for the unit is 08,,,,1,,,,,,,,
20144629,Need to pass though a locked door.,,,1,,,,,,,,,
20145161,Not applicable,,,,,,,,,,,,
20145376,"Gated apartment, apartment is right 1st building thru 19208, 19203 is second floor.spoke with Male he?€?s informed me he?€?s seldom here, most of the time in LA. It?€?s kind of vacation home for him. I left advance letters, he promised to look into it",,1,,,,,,,,,,
20145536,"2 flat controlled access, can not knock directly on apartment door no bells or intercom",,,,,,,,,,,1,
20145655,Need to call in to get access.,,,,1,,,,,,,,
20145752,Just an older double wide mobile home I?€?ll look into the wind it?€?s not very well kept inside,,,,,,,,,,,,
20145871,Vacant/Sold home,,,,,,,,,,,,
20146551,Must get permission from office before visit,,,,,,,,,,,1,
20146573,Active State Trooper?€?s car parked in driveway,,,,,,,1,,,,,
20146755,Small home lrg lot pretty messy yard,,,,,,,,,,,,
20146807,secure apartment building,,,,,,,,,,,,
20146904,A sign stating (no flyers no adds etc,,,,,,,,,,1,,
20147350,Ring door bell.  Does not appear to be recording.,1,,,,,,,,,,,
20147662,"May be unoccupied, looks newly built.",,,,,,,,,,,,
20147811,Security lights possibly motion triggered,,,,,1,,,,,,,
20148201,DU has The RING Doorbell,1,,,,,,,,,,,
20148717,Wesley village,,,,,,,,,,,,
20148977,"The DU is not accessible Private road, no trespassing, no solicitors",,,,,,,,,,1,,
